company_fullname,tweet_text,favorite_count,created_at,hashtags,tweet_id,lang,urls,user_followers,user_screen_name,crawling_time
MINHO,"RT @apollolino: only those who remember minho saying ""new york shitty"" can rt this",0,Wed Mar 27 23:59:13 +0000 2019,,1111055101106503681,en,,205,mousepjs,2019-03-31|22:57
MINHO,RT @oddfeIix: minho said sitting on the grass is overrated let's sit on chan instead https://t.co/FHtJ6Z51uy,0,Wed Mar 27 23:59:12 +0000 2019,,1111055096295493632,en,,1481,kimjuanpil,2019-03-31|22:57
MINHO,"RT @080525Schedule: 19. 03. 28 (목)
[음원공개]❗️18:00❗️SM STATION 시즌3 : 민호(MINHO) - ‘I’m Home (그래)’ 음원공개
[M/V 공개]18:00 SM STATION 시즌3 : 민호(MINHO…",0,Wed Mar 27 23:59:03 +0000 2019,,1111055062283870208,ko,,65,From5HINee525,2019-03-31|22:57
MINHO,"RT @Michelle_JG: Who is on the way to Seoul to attend Minho's Encore FM? Imagine the person come and sit next to you is him!!!!!!!!!!!😍😍😍
#…",0,Wed Mar 27 23:59:00 +0000 2019,,1111055046932717568,en,,3421,LadyRainz614,2019-03-31|22:57
MINHO,"RT @skzpuff: minho estaba buscando re desesperado a felix y lo tenía AL LADO, no conecta ni media neurona https://t.co/ganjMerCfV",0,Wed Mar 27 23:58:55 +0000 2019,,1111055026103959552,es,,548,mermaidgxrl_,2019-03-31|22:57
MINHO,RT @minhoonthisday9: [STATION 3] MINHO 민호 'I’m Home (그래)' MV Teaser https://t.co/6kqdbtlGjd,0,Wed Mar 27 23:58:53 +0000 2019,,1111055017677471744,ko,,3421,LadyRainz614,2019-03-31|22:57
MINHO,"RT @apollolino: only those who remember minho saying ""new york shitty"" can rt this",0,Wed Mar 27 23:58:49 +0000 2019,,1111055001382617088,en,,71,honey_komorebi,2019-03-31|22:57
MINHO,"RT @skzpuff: minho estaba buscando re desesperado a felix y lo tenía AL LADO, no conecta ni media neurona https://t.co/ganjMerCfV",0,Wed Mar 27 23:58:47 +0000 2019,,1111054994395013122,es,,264,purpleDcloud,2019-03-31|22:57
MINHO,"RT @LeeRan1214: Tomorrow, a new soloist will be born. RISE FLAMING SOLOIST CHOI MINHO https://t.co/FpiznfUNk0",0,Wed Mar 27 23:58:46 +0000 2019,,1111054989307375617,en,,276,jw7aam,2019-03-31|22:57
MINHO,RT @forstraybabies: sanghyeok(little minho) did the miroh challenge ^^ this kid is seriously too cute &gt;.&lt; https://t.co/66ZWVpxnor,0,Wed Mar 27 23:58:46 +0000 2019,,1111054987939856384,en,,477,chochollattee,2019-03-31|22:57
